"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4167.11 0.627403 0.633609 7.508 0.865842
4167.45 0.625692 0.631111 7.54165 0.865802
4167.79 0.623623 0.628581 7.57553 0.865764
4168.14 0.620946 0.625962 7.61172 0.865728
4168.48 0.617852 0.623223 7.64821 0.865695
4168.82 0.614644 0.620374 7.68482 0.865663
4169.16 0.611598 0.61746 7.7214 0.865634
4169.5 0.60895 0.61452 7.75824 0.865607
4169.84 0.606895 0.611566 7.79356 0.865583
4170.18 0.605254 0.608581 7.82837 0.865561
4170.52 0.603631 0.60554 7.86282 0.865542
4170.86 0.601698 0.602437 7.88943 0.865526
4171.21 0.599364 0.599296 7.91618 0.865513
4171.55 0.596588 0.596179 7.94063 0.865502
4171.89 0.593498 0.593158 7.96194 0.865495
4172.23 0.590425 0.590299 7.98334 0.865491
4172.57 0.587671 0.58763 8.01469 0.865491
4172.91 0.585246 0.585149 8.04879 0.865494
4173.25 0.583029 0.582848 8.08374 0.8655
4173.6 0.581012 0.580743 8.12235 0.86551
4173.94 0.579485 0.578893 8.16125 0.865524
4174.28 0.57877 0.577396 8.17845 0.865541
4174.62 0.57897 0.57636 8.17564 0.865563
4174.96 0.579976 0.575867 8.17284 0.865588
4175.3 0.581622 0.575952 8.14895 0.865618
4175.64 0.583467 0.576576 8.12251 0.865652
4175.99 0.584972 0.57764 8.10089 0.86569
4176.33 0.58578 0.579026 8.09315 0.865732
4176.67 0.585874 0.580626 8.08542 0.865779
4177.01 0.585311 0.582347 8.09128 0.865831
4177.35 0.584622 0.584124 8.10553 0.865887
4177.7 0.58468 0.585932 8.11982 0.865948
4178.04 0.586134 0.587761 8.10186 0.866014
4178.38 0.588646 0.58959 8.08351 0.866085
4178.72 0.591627 0.591398 8.06379 0.866162
4179.06 0.594648 0.593166 8.04152 0.866243
4179.4 0.597522 0.594872 8.01933 0.86633
4179.75 0.600086 0.596504 8.00244 0.866422
4180.09 0.602255 0.598084 7.98761 0.866519
4180.43 0.603982 0.599666 7.97346 0.866623
4180.77 0.60525 0.601304 7.96588 0.866732
4181.11 0.606117 0.603034 7.95831 0.866846
4181.46 0.60666 0.60485 7.95284 0.866967
4181.8 0.606982 0.606702 7.94987 0.867094
4182.14 0.607215 0.6085 7.94689 0.867226
4182.48 0.607504 0.610154 7.94088 0.867364
4182.83 0.608031 0.611607 7.93425 0.867508
4183.17 0.609001 0.612844 7.92384 0.867657
4183.51 0.610642 0.613878 7.89815 0.867812
4183.85 0.613243 0.614724 7.87258 0.867972
4184.19 0.617053 0.61538 7.84079 0.868138
4184.54 0.621513 0.61584 7.80442 0.868309
4184.88 0.625388 0.616108 7.7683 0.868485
4185.22 0.627695 0.616215 7.74486 0.868666
4185.56 0.628757 0.616234 7.72233 0.868852
4185.91 0.629284 0.616269 7.70709 0.869043
4186.25 0.629716 0.616413 7.70781 0.869238
4186.59 0.630048 0.616704 7.70852 0.869439
4186.93 0.630234 0.617124 7.71538 0.869644
4187.28 0.630218 0.617609 7.72508 0.869854
4187.62 0.629936 0.618084 7.73481 0.870068
4187.96 0.629379 0.618516 7.74464 0.870286
4188.3 0.628709 0.618936 7.75448 0.870509
4188.65 0.628125 0.619437 7.76428 0.870736
4188.99 0.627716 0.620136 7.77399 0.870967
4189.33 0.627446 0.62114 7.78373 0.871203
4189.68 0.627277 0.622509 7.79429 0.871442
4190.02 0.627217 0.624238 7.80508 0.871685
4190.36 0.627296 0.626261 7.81444 0.871932
4190.7 0.627568 0.628457 7.81717 0.872183
4191.05 0.628146 0.63067 7.8199 0.872437
4191.39 0.629142 0.63273 7.81681 0.872695
4191.73 0.63045 0.634473 7.80904 0.872956
4192.08 0.631781 0.635765 7.80129 0.873221
4192.42 0.632819 0.636516 7.80876 0.873489
4192.76 0.63317 0.636686 7.81739 0.87376
4193.1 0.632418 0.636273 7.82906 0.874034
4193.45 0.630404 0.635293 7.84767 0.874312
4193.79 0.627399 0.633769 7.86634 0.874592
4194.13 0.623729 0.631724 7.89056 0.874875
4194.48 0.619854 0.629188 7.91746 0.875161
4194.82 0.61632 0.626218 7.9451 0.87545
4195.16 0.613518 0.62288 7.9823 0.875741
4195.51 0.611325 0.619252 8.01978 0.876035
4195.85 0.609517 0.615405 8.05096 0.876331
4196.19 0.607971 0.611394 8.07389 0.87663
4196.54 0.606687 0.607265 8.09692 0.876931
4196.88 0.605622 0.603074 8.109 0.877234
4197.22 0.604376 0.598918 8.11864 0.87754
4197.57 0.602396 0.594933 8.13443 0.877847
4197.91 0.599416 0.591277 8.17562 0.878156
4198.25 0.595817 0.58809 8.21713 0.878467
4198.6 0.592075 0.585463 8.2606 0.87878
4198.94 0.588781 0.583425 8.30564 0.879095
4199.28 0.586616 0.581958 8.35106 0.879411
4199.63 0.586118 0.581023 8.36476 0.879729
4199.97 0.587144 0.580613 8.37701 0.880048
4200.32 0.589358 0.580782 8.37406 0.880369
4200.66 0.592355 0.581611 8.34122 0.88069
4201.0 0.595625 0.583178 8.30857 0.881013
4201.35 0.598731 0.585525 8.25973 0.881338
4201.69 0.602049 0.58862 8.20495 0.881663
4202.03 0.606408 0.592343 8.15126 0.881989
4202.38 0.611977 0.596545 8.10292 0.882316
4202.72 0.616926 0.601092 8.055 0.882643
4203.07 0.619147 0.605892 8.03799 0.882972
4203.41 0.618759 0.610909 8.05383 0.883301
4203.75 0.618215 0.616153 8.06972 0.88363
4204.1 0.61972 0.621622 8.03564 0.88396
4204.44 0.623303 0.627268 7.99407 0.884291
4204.79 0.628184 0.633007 7.95188 0.884621
4205.13 0.633641 0.638724 7.90723 0.884952
4205.47 0.639067 0.644302 7.86294 0.885283
4205.82 0.643912 0.649656 7.8219 0.885614
4206.16 0.648183 0.654752 7.78284 0.885944
4206.51 0.652284 0.659572 7.74392 0.886275
4206.85 0.656549 0.664092 7.69654 0.886605
4207.19 0.661014 0.668256 7.64959 0.886935
4207.54 0.66564 0.671988 7.6017 0.887265
4207.88 0.670222 0.6752 7.55225 0.887594
4208.23 0.674333 0.677837 7.50328 0.887923
4208.57 0.67755 0.679903 7.47932 0.88825
4208.92 0.679578 0.68146 7.46202 0.888578
4209.26 0.680182 0.6826 7.45057 0.888904
4209.6 0.679412 0.683403 7.46638 0.889229
4209.95 0.677994 0.68389 7.48224 0.889554
4210.29 0.676717 0.684009 7.49936 0.889877
4210.64 0.675665 0.683664 7.51747 0.890199
4210.98 0.67433 0.682766 7.53564 0.89052
4211.33 0.672391 0.681284 7.54416 0.890839
4211.67 0.670502 0.679276 7.55218 0.891157
4212.02 0.669593 0.676899 7.54782 0.891474
4212.36 0.670221 0.674355 7.51927 0.891789
4212.71 0.672373 0.671832 7.49089 0.892102
4213.05 0.675798 0.669467 7.45015 0.892414
4213.4 0.678467 0.667334 7.40506 0.892724
4213.74 0.677375 0.665465 7.37903 0.893031
4214.08 0.671221 0.663886 7.4975 0.893337
4214.43 0.663576 0.662651 7.61886 0.893641
4214.77 0.658725 0.661842 7.69321 0.893942
4215.12 0.657629 0.661536 7.71947 0.894241
4215.46 0.657969 0.661773 7.74586 0.894538
4215.81 0.657696 0.662554 7.76436 0.894833
4216.15 0.65702 0.663845 7.782 0.895125
4216.5 0.656913 0.665588 7.79354 0.895414
4216.84 0.657985 0.667748 7.7898 0.895701
4217.19 0.660208 0.670327 7.78606 0.895984
4217.53 0.663453 0.673325 7.77219 0.896265
4217.88 0.667223 0.676706 7.75355 0.896543
4218.22 0.670789 0.680374 7.7348 0.896818
4218.57 0.673608 0.684153 7.71373 0.89709
4218.91 0.675747 0.68777 7.69274 0.897359
4219.26 0.677402 0.690901 7.6743 0.897625
4219.6 0.678884 0.693228 7.65876 0.897887
4219.95 0.680627 0.694482 7.64326 0.898145
4220.3 0.682875 0.694467 7.63082 0.8984
4220.64 0.684612 0.693079 7.61892 0.898652
4220.99 0.684347 0.690281 7.61628 0.8989
4221.33 0.681402 0.686068 7.64158 0.899144
4221.68 0.676674 0.680435 7.667 0.899384
4222.02 0.67117 0.67338 7.72275 0.89962
4222.37 0.664964 0.664927 7.79611 0.899852
4222.71 0.657487 0.655174 7.87203 0.90008
4223.06 0.648315 0.644314 7.98789 0.900304
4223.4 0.637585 0.632644 8.10632 0.900523
4223.75 0.625574 0.620538 8.23434 0.900739
4224.1 0.612919 0.608386 8.37469 0.900949
4224.44 0.600691 0.596545 8.51867 0.901155
4224.79 0.589885 0.585323 8.64852 0.901357
4225.13 0.580809 0.574991 8.77761 0.901554
4225.48 0.573486 0.565802 8.89569 0.901746
4225.82 0.567798 0.558011 8.96757 0.901933
4226.17 0.563335 0.551878 9.04034 0.902115
4226.52 0.559684 0.54762 9.08652 0.902292
4226.86 0.55684 0.545359 9.11631 0.902465
4227.21 0.555101 0.5451 9.14553 0.902633
4227.55 0.554721 0.546739 9.13961 0.902796
4227.9 0.555766 0.550094 9.13369 0.902955
4228.24 0.558257 0.554975 9.11039 0.903109
4228.59 0.562141 0.561205 9.06315 0.903258
4228.94 0.567276 0.568639 9.01627 0.903403
4229.28 0.573522 0.577133 8.9364 0.903544
4229.63 0.580803 0.586496 8.85021 0.90368
4229.97 0.589069 0.596436 8.75825 0.903811
4230.32 0.598229 0.606593 8.64272 0.903939
4230.67 0.608107 0.616566 8.52946 0.904062
4231.01 0.618495 0.625964 8.40947 0.904181
4231.36 0.628896 0.63447 8.28653 0.904296
4231.71 0.638601 0.641891 8.16663 0.904406
4232.05 0.646896 0.648151 8.07194 0.904513
4232.4 0.653081 0.653248 7.97888 0.904615
4232.74 0.656487 0.657225 7.92167 0.904714
4233.09 0.657549 0.660138 7.91288 0.904808
4233.44 0.658074 0.662053 7.9041 0.904899
4233.78 0.65972 0.663057 7.86804 0.904986
4234.13 0.662513 0.663284 7.82622 0.905069
4234.48 0.665783 0.662924 7.7881 0.905148
4234.82 0.668816 0.662205 7.76214 0.905224
4235.17 0.670817 0.661349 7.73631 0.905296
4235.52 0.671037 0.660535 7.73462 0.905364
4235.86 0.669527 0.659878 7.74754 0.905429
4236.21 0.666919 0.65944 7.76095 0.90549
4236.56 0.663902 0.659253 7.79163 0.905548
4236.9 0.661335 0.659366 7.8225 0.905602
4237.25 0.660099 0.659848 7.84145 0.905653
