"Wavelength (A)" Specta "Best Fitting Model" "Non-parm Extinction Curve" "Non-param Adjusted Continuum"
4148.74 0.722722 0.721097 0.23851 0.894964
4149.08 0.728803 0.719254 0.237668 0.894887
4149.42 0.733693 0.717098 0.237101 0.894807
4149.76 0.736242 0.714886 0.236536 0.894725
4150.1 0.735695 0.712722 0.237253 0.894641
4150.44 0.733572 0.710604 0.238143 0.894556
4150.78 0.732185 0.708498 0.239097 0.894468
4151.12 0.732345 0.70638 0.240253 0.894378
4151.46 0.731805 0.704239 0.241417 0.894287
4151.8 0.72804 0.702061 0.242557 0.894193
4152.14 0.720044 0.699829 0.243682 0.894098
4152.48 0.70803 0.697542 0.244815 0.894001
4152.82 0.692855 0.69521 0.246021 0.893902
4153.16 0.67836 0.692865 0.247241 0.893802
4153.5 0.669266 0.690575 0.248352 0.893699
4153.84 0.668076 0.688425 0.249176 0.893595
4154.18 0.673386 0.68647 0.250004 0.89349
4154.52 0.683259 0.684748 0.248893 0.893383
4154.86 0.694068 0.683311 0.246703 0.893274
4155.2 0.701009 0.682269 0.244541 0.893163
4155.54 0.700564 0.681789 0.24637 0.893052
4155.88 0.694642 0.682088 0.248263 0.892938
4156.22 0.686534 0.683377 0.249952 0.892824
4156.56 0.678747 0.685782 0.251223 0.892707
4156.9 0.672591 0.689293 0.252503 0.89259
4157.24 0.669215 0.693739 0.253089 0.892471
4157.58 0.669111 0.698844 0.253369 0.892351
4157.92 0.672374 0.704308 0.253593 0.892229
4158.26 0.679032 0.709879 0.252754 0.892106
4158.6 0.688892 0.715382 0.251919 0.891982
4158.94 0.701697 0.720735 0.250655 0.891857
4159.28 0.716571 0.725928 0.248771 0.891731
4159.62 0.731849 0.730987 0.246908 0.891603
4159.96 0.745775 0.73595 0.245041 0.891475
4160.3 0.756312 0.740834 0.243188 0.891345
4160.64 0.761279 0.74561 0.241754 0.891215
4160.98 0.760068 0.750176 0.243371 0.891083
4161.32 0.756534 0.754349 0.245003 0.89095
4161.66 0.755187 0.757902 0.245273 0.890817
4162.0 0.757016 0.760634 0.244015 0.890682
4162.34 0.759232 0.76245 0.242766 0.890547
4162.68 0.759101 0.763393 0.243497 0.890411
4163.02 0.755516 0.76363 0.244641 0.890274
4163.36 0.748044 0.763375 0.245677 0.890136
4163.7 0.737133 0.762761 0.246218 0.889998
4164.05 0.725271 0.761751 0.24676 0.889858
4164.39 0.715175 0.760139 0.24699 0.889718
4164.73 0.708477 0.757639 0.24696 0.889578
4165.07 0.705844 0.754021 0.24693 0.889437
4165.41 0.707597 0.749267 0.246751 0.889295
4165.75 0.712369 0.743644 0.246556 0.889153
4166.09 0.718238 0.737667 0.246321 0.88901
4166.43 0.723771 0.731964 0.245973 0.888867
4166.77 0.728455 0.727112 0.245625 0.888723
4167.11 0.731917 0.723481 0.245436 0.888579
4167.45 0.734338 0.721154 0.245342 0.888434
4167.79 0.736301 0.719953 0.245247 0.888289
4168.14 0.737726 0.719532 0.246395 0.888144
4168.48 0.735723 0.719481 0.247572 0.887999
4168.82 0.726749 0.719397 0.248992 0.887853
4169.16 0.712202 0.718926 0.250878 0.887707
4169.5 0.700914 0.717755 0.252785 0.887561
4169.84 0.701171 0.715586 0.254203 0.887414
4170.18 0.709567 0.71214 0.255421 0.887268
4170.52 0.715903 0.707221 0.256761 0.887121
4170.86 0.712293 0.700797 0.259684 0.886975
4171.21 0.698676 0.693052 0.262657 0.886828
4171.55 0.676695 0.684391 0.265797 0.886681
4171.89 0.651649 0.675386 0.269148 0.886535
4172.23 0.633218 0.666671 0.272563 0.886388
4172.57 0.629688 0.658815 0.273192 0.886242
4172.91 0.636897 0.652252 0.273091 0.886095
4173.25 0.645018 0.64728 0.272875 0.885949
4173.6 0.647521 0.644074 0.272053 0.885803
4173.94 0.646228 0.64268 0.271235 0.885657
4174.28 0.644166 0.643031 0.27066 0.885512
4174.62 0.642503 0.644933 0.270305 0.885366
4174.96 0.640658 0.648044 0.26995 0.885221
4175.3 0.638159 0.651901 0.269255 0.885077
4175.64 0.63553 0.656012 0.268521 0.884932
4175.99 0.633652 0.659962 0.267555 0.884789
