Wavelength,Spectra,Best_Fitting_Model,Non_parm_Extinction_Curve,Non_param_Adjusted_Continuum
4201.35,0.640297,0.644796,1.67558,0.880661
4201.69,0.647671,0.647051,1.66768,0.880408
4202.03,0.656122,0.64984,1.65894,0.880155
4202.38,0.664726,0.653178,1.64225,0.879903
4202.72,0.672788,0.657049,1.62582,0.879651
4203.07,0.679663,0.661415,1.61556,0.879401
4203.41,0.684958,0.666218,1.61175,0.879151
4203.75,0.688541,0.671408,1.60795,0.878902
4204.1,0.690416,0.676957,1.60405,0.878654
4204.44,0.69131,0.682851,1.60014,0.878407
4204.79,0.692224,0.689077,1.59602,0.878162
4205.13,0.694006,0.695592,1.59123,0.877917
4205.47,0.697212,0.702302,1.58647,0.877674
4205.82,0.702323,0.709044,1.57868,0.877433
4206.16,0.709301,0.715589,1.56921,0.877193
4206.51,0.717738,0.721691,1.55973,0.876955
4206.85,0.727128,0.727122,1.5455,0.876718
4207.19,0.736618,0.731707,1.53146,0.876483
4207.54,0.745272,0.735351,1.51936,0.87625
4207.88,0.752085,0.738047,1.50997,0.876019
4208.23,0.755963,0.739862,1.50067,0.875791
4208.57,0.756015,0.740913,1.50186,0.875564
4208.92,0.752948,0.741356,1.50586,0.87534
4209.26,0.748205,0.74137,1.51062,0.875117
4209.6,0.743044,0.74114,1.51888,0.874898
4209.95,0.738274,0.740833,1.52722,0.87468
4210.29,0.734602,0.740584,1.53361,0.874466
4210.64,0.732142,0.740457,1.53846,0.874254
4210.98,0.730499,0.740407,1.54333,0.874045
4211.33,0.729331,0.740273,1.54476,0.873838
4211.67,0.728589,0.739802,1.54601,0.873635
4212.02,0.728313,0.738689,1.54764,0.873434
4212.36,0.728417,0.736641,1.55004,0.873237
4212.71,0.728627,0.733463,1.55244,0.873043
4213.05,0.728593,0.729119,1.55939,0.872852
4213.4,0.72737,0.723745,1.56812,0.872664
4213.74,0.723691,0.717634,1.57742,0.87248
4214.08,0.717214,0.711189,1.59072,0.8723
4214.43,0.710234,0.704868,1.6042,0.872123
4214.77,0.705424,0.699125,1.61389,0.87195
4215.12,0.703512,0.694372,1.61976,0.87178
